timestamp,round,elapsed,accuracy
2025-12-12 03:22:51.02494,91,56.5572979450226,0.7166
2025-12-12 03:23:42.02501,92,50.9018008708954,0.7207
2025-12-12 03:24:32.58901,93,50.4457678794861,0.7211
2025-12-12 03:25:27.31722,94,54.6054289340973,0.7192
2025-12-12 03:26:19.66503,95,52.2337248325348,0.7202
2025-12-12 03:27:09.61696,96,49.8626699447632,0.721
2025-12-12 03:28:01.70380,97,51.9870460033417,0.7223
2025-12-12 03:28:57.34797,98,55.5417730808258,0.7235
2025-12-12 03:29:53.90330,99,56.4599359035492,0.7227
2025-12-12 03:30:52.66522,100,58.624657869339,0.7272
2025-12-12 03:31:55.90975,101,63.1011309623718,0.7251
2025-12-12 03:32:53.34221,102,57.3038249015808,0.7252
2025-12-12 03:33:50.68664,103,57.2288811206818,0.7278
2025-12-12 03:34:46.39347,104,55.5934700965881,0.7266
2025-12-12 03:35:44.76585,105,58.2607269287109,0.7253
2025-12-12 03:36:43.37544,106,58.5011389255524,0.7229
2025-12-12 03:37:41.29628,107,57.816948890686,0.7281
2025-12-12 03:38:37.22950,108,55.8347721099854,0.7271
2025-12-12 03:39:33.59483,109,56.2519428730011,0.7305
2025-12-12 03:40:31.13726,110,57.4572429656982,0.7309
2025-12-12 03:41:28.57982,111,57.336895942688,0.7355
2025-12-12 03:42:21.64086,112,52.9172918796539,0.7334
2025-12-12 03:43:20.12196,113,58.3723628520966,0.737
2025-12-12 03:44:21.17799,114,60.9359979629517,0.7363
2025-12-12 03:45:20.47245,115,59.187243938446,0.7355
2025-12-12 03:46:16.58724,116,56.0058860778809,0.736
2025-12-12 03:47:15.30303,117,58.6171469688416,0.7332
2025-12-12 03:48:12.08491,118,56.6767132282257,0.7342
2025-12-12 03:49:07.52349,119,55.3479599952698,0.7356
2025-12-12 03:50:03.40553,120,55.7904691696167,0.7354
2025-12-12 03:51:01.18860,121,57.6905519962311,0.7367
2025-12-12 03:52:02.29611,122,60.9971189498901,0.7352
2025-12-12 03:52:59.83355,123,57.4259650707245,0.7385
2025-12-12 03:53:56.36711,124,56.4418041706085,0.74
2025-12-12 03:54:54.68868,125,58.2122058868408,0.7403
2025-12-12 03:55:53.83054,126,59.0290851593018,0.7361
2025-12-12 03:56:49.72116,127,55.7886681556702,0.7404
2025-12-12 03:57:48.25315,128,58.4277970790863,0.7339
2025-12-12 03:58:42.71133,129,54.3657829761505,0.7402
2025-12-12 03:59:38.75531,130,55.9580290317535,0.7418
2025-12-12 04:00:32.30340,131,53.3461489677429,0.7416
2025-12-12 04:01:17.78793,132,45.4037170410156,0.7426
2025-12-12 04:02:06.03845,133,48.1493530273438,0.7428
2025-12-12 04:02:53.62981,134,47.4714629650116,0.7426
2025-12-12 04:03:53.43462,135,59.7034809589386,0.7404
2025-12-12 04:04:56.04377,136,62.4762270450592,0.746
2025-12-12 04:06:03.07120,137,66.9053499698639,0.7408
2025-12-12 04:07:08.13364,138,64.9419519901276,0.7435
2025-12-12 04:08:17.85034,139,69.6038239002228,0.7462
2025-12-12 04:09:07.04754,140,49.1057879924774,0.748
2025-12-12 04:10:03.42659,141,56.2808659076691,0.7517
2025-12-12 04:10:54.32320,142,50.7995300292969,0.7479
2025-12-12 04:11:48.97060,143,54.5258150100708,0.746
2025-12-12 04:12:42.53836,144,53.4633300304413,0.748
2025-12-12 04:13:47.42366,145,64.7555320262909,0.7515
2025-12-12 04:14:49.77225,146,62.25257396698,0.7516
2025-12-12 04:15:49.36253,147,59.4803459644318,0.7492
2025-12-12 04:16:41.05422,148,51.6042358875275,0.7486
2025-12-12 04:17:37.50087,149,56.3253219127655,0.7485
2025-12-12 04:18:25.46792,150,47.8615801334381,0.7528
2025-12-12 04:19:17.29426,151,51.722295999527,0.7482
2025-12-12 04:20:06.09433,152,48.6987500190735,0.7523
2025-12-12 04:21:02.02901,153,55.8127951622009,0.7534
2025-12-12 04:21:54.75400,154,52.6203598976135,0.7526
2025-12-12 04:23:14.68420,155,79.8260681629181,0.7473
2025-12-12 04:24:19.43792,156,64.6441521644592,0.7529
2025-12-12 04:25:08.68662,157,49.1333789825439,0.7523
2025-12-12 04:25:54.96795,158,46.1856670379639,0.7548
2025-12-12 04:26:42.62616,159,47.5579178333282,0.7531
2025-12-12 04:27:43.01767,160,60.2972149848938,0.7557
2025-12-12 04:28:34.15200,161,51.0210349559784,0.754
2025-12-12 04:29:25.38985,162,51.1547658443451,0.7562
2025-12-12 04:30:23.47342,163,57.9975759983063,0.7559
2025-12-12 04:31:21.91120,164,58.3251569271088,0.7559
2025-12-12 04:32:20.12758,165,58.1156051158905,0.7548
2025-12-12 04:33:14.34240,166,54.1210398674011,0.7553
2025-12-12 04:34:17.54990,167,63.1048769950867,0.7553
2025-12-12 04:35:18.40252,168,60.7463691234589,0.7576
2025-12-12 04:36:13.98444,169,55.4863290786743,0.761
2025-12-12 04:37:11.74333,170,57.6642560958862,0.7596
2025-12-12 04:38:07.13293,171,55.2980539798737,0.7634
2025-12-12 04:39:04.25240,172,57.0164029598236,0.761
2025-12-12 04:39:58.90483,173,54.5272290706635,0.761
2025-12-12 04:40:53.91122,174,54.899689912796,0.7599
2025-12-12 04:41:50.13499,175,56.0964999198914,0.7578
2025-12-12 04:42:42.45436,176,52.2206411361694,0.758
2025-12-12 04:43:37.71011,177,55.1482670307159,0.7574
2025-12-12 04:44:32.07001,178,54.2532598972321,0.759
2025-12-12 04:45:29.56529,179,57.4069440364838,0.7585
2025-12-12 04:46:26.51257,180,56.8580298423767,0.7585
2025-12-12 04:47:22.67091,181,56.0655119419098,0.7627
2025-12-12 04:48:21.84732,182,59.0867898464203,0.7631
2025-12-12 04:49:18.56498,183,56.6288449764252,0.7632
2025-12-12 04:50:24.44428,184,65.7917020320892,0.7628
2025-12-12 04:51:29.59266,185,64.8011720180511,0.7638
2025-12-12 04:52:30.55088,186,60.8421080112457,0.7614
2025-12-12 04:53:35.43977,187,64.749550819397,0.7613
2025-12-12 04:54:51.02925,188,75.4049091339111,0.7616
2025-12-12 04:55:47.56857,189,56.4230399131775,0.7642
2025-12-12 04:56:40.88668,190,53.2076661586761,0.7641
2025-12-12 04:57:31.36328,191,50.369460105896,0.7662
2025-12-12 04:58:23.82380,192,52.365905046463,0.77
2025-12-12 04:59:17.15206,193,53.2326250076294,0.7653
2025-12-12 05:00:09.99780,194,52.7525751590729,0.7666
2025-12-12 05:01:04.00976,195,53.9235417842865,0.7664
2025-12-12 05:01:58.65384,196,54.5339410305023,0.7638
2025-12-12 05:02:54.80720,197,56.0398371219635,0.7654
2025-12-12 05:03:48.12217,198,53.2113280296326,0.7647
2025-12-12 05:04:40.33482,199,52.0662920475006,0.7647
2025-12-12 05:05:33.33887,200,52.9052529335022,0.7656
2025-12-12 05:06:15.67473,201,42.208890914917,0.7629
2025-12-12 05:06:58.81579,202,43.0547790527344,0.7667
2025-12-12 05:07:42.70898,203,43.8137559890747,0.7675
2025-12-12 05:08:24.64622,204,41.8325090408325,0.7633
2025-12-12 05:09:08.72166,205,43.9861969947815,0.7681
2025-12-12 05:09:53.61081,206,44.7934250831604,0.7673
2025-12-12 05:10:37.68111,207,43.9796750545502,0.7701
2025-12-12 05:11:19.60992,208,41.8163330554962,0.7674
2025-12-12 05:12:03.30763,209,43.6042039394379,0.7691
2025-12-12 05:12:47.12162,210,43.7251420021057,0.7668
2025-12-12 05:13:28.95131,211,41.7455151081085,0.7673
2025-12-12 05:14:12.44140,212,43.3899748325348,0.7676
2025-12-12 05:14:56.39552,213,43.8562660217285,0.7689
2025-12-12 05:15:40.61768,214,44.1325488090515,0.7671
2025-12-12 05:16:22.41825,215,41.7090890407562,0.7658
2025-12-12 05:17:05.70032,216,43.197035074234,0.766
2025-12-12 05:17:48.83591,217,43.041543006897,0.7688
2025-12-12 05:18:31.64145,218,42.7245881557465,0.7664
2025-12-12 05:19:14.46536,219,42.7326049804688,0.7649
2025-12-12 05:19:58.25067,220,43.7048211097717,0.7665
2025-12-12 05:20:42.21986,221,43.8888759613037,0.7639
2025-12-12 05:21:23.78277,222,41.465273141861,0.765
2025-12-12 05:22:07.83552,223,43.9659600257874,0.7665
2025-12-12 05:22:51.35079,224,43.4248900413513,0.7683
2025-12-12 05:23:34.43855,225,43.0051300525665,0.7653
2025-12-12 05:24:17.91011,226,43.389190196991,0.7663
2025-12-12 05:25:02.49042,227,44.4994559288025,0.7653
2025-12-12 05:25:49.64024,228,47.0651729106903,0.7675
2025-12-12 05:26:33.23109,229,43.514396905899,0.7666
2025-12-12 05:27:15.98404,230,42.6571750640869,0.7659
2025-12-12 05:27:59.94989,231,43.8717391490936,0.7682
2025-12-12 05:28:43.40536,232,43.3622460365295,0.7689
2025-12-12 05:29:25.51459,233,42.0209500789642,0.7677
2025-12-12 05:30:09.69634,234,44.1013181209564,0.7678
2025-12-12 05:30:54.23157,235,44.4482009410858,0.7688
2025-12-12 05:31:39.19809,236,44.8830718994141,0.7699
2025-12-12 05:32:21.93581,237,42.6532881259918,0.7716
2025-12-12 05:33:05.77755,238,43.7642970085144,0.7719
2025-12-12 05:33:50.37192,239,44.507917881012,0.7693
2025-12-12 05:34:33.98393,240,43.5353121757507,0.7709
2025-12-12 05:35:17.86537,241,43.8023929595947,0.7711
2025-12-12 05:36:01.79429,242,43.8198339939117,0.768
2025-12-12 05:36:45.95768,243,44.0597460269928,0.7687
2025-12-12 05:37:28.91986,244,42.8626208305359,0.7683
2025-12-12 05:38:12.81045,245,43.7798099517822,0.7663
2025-12-12 05:38:56.90689,246,44.000540971756,0.7706
2025-12-12 05:39:42.05105,247,45.0544950962067,0.7686
2025-12-12 05:40:24.61100,248,42.4733510017395,0.7706
2025-12-12 05:41:07.93222,249,43.2412779331207,0.7711
2025-12-12 05:41:51.76865,250,43.7570798397064,0.7734
2025-12-12 05:42:35.18693,251,43.3119390010834,0.7721
2025-12-12 05:43:17.98075,252,42.6828649044037,0.773
2025-12-12 05:44:02.21644,253,44.1386981010437,0.7718
2025-12-12 05:44:46.71356,254,44.4011161327362,0.7756
2025-12-12 05:45:29.09917,255,42.2945420742035,0.772
2025-12-12 05:46:12.76460,256,43.5659649372101,0.7751
2025-12-12 05:46:56.88153,257,44.0241799354553,0.7726
2025-12-12 05:47:40.43405,258,43.4609518051147,0.7743
2025-12-12 05:48:22.50381,259,41.983011007309,0.7708
2025-12-12 05:49:06.49254,260,43.9103899002075,0.7742
2025-12-12 05:49:50.44814,261,43.8561000823975,0.7745
2025-12-12 05:50:34.09468,262,43.5533480644226,0.7729
2025-12-12 05:51:16.33576,263,42.1480748653412,0.7713
2025-12-12 05:51:59.57746,264,43.1557099819183,0.7739
2025-12-12 05:52:42.94886,265,43.2817301750183,0.7731
2025-12-12 05:53:24.24068,266,41.2003118991852,0.7724
2025-12-12 05:54:07.99465,267,43.6783790588379,0.7729
2025-12-12 05:54:52.11659,268,44.0331559181213,0.7729
2025-12-12 05:55:35.51295,269,43.3003339767456,0.772
2025-12-12 05:56:17.54765,270,41.942883014679,0.7783
2025-12-12 05:57:01.16993,271,43.5252239704132,0.7728
2025-12-12 05:57:44.57081,272,43.3146970272064,0.7747
2025-12-12 05:58:26.22827,273,41.5680449008942,0.773
2025-12-12 05:59:10.09788,274,43.7880430221558,0.7722
2025-12-12 05:59:53.86502,275,43.6792740821838,0.7736
2025-12-12 06:00:38.43690,276,44.4927101135254,0.7738
2025-12-12 06:01:20.46872,277,41.9524171352386,0.7734
2025-12-12 06:02:04.29476,278,43.7298409938812,0.7736
2025-12-12 06:02:47.69044,279,43.3005151748657,0.7728
2025-12-12 06:03:29.91471,280,42.1295008659363,0.7727
2025-12-12 06:04:13.86567,281,43.8580479621887,0.7704
2025-12-12 06:04:58.74987,282,44.7967641353607,0.7718
2025-12-12 06:05:43.38168,283,44.5528290271759,0.7738
2025-12-12 06:06:25.36463,284,41.8964550495148,0.7709
2025-12-12 06:07:09.85898,285,44.4031190872192,0.7706
2025-12-12 06:07:53.49587,286,43.5455729961395,0.7733
2025-12-12 06:08:37.30465,287,43.7210729122162,0.7741
2025-12-12 06:09:19.52856,288,42.1286029815674,0.7759
2025-12-12 06:10:04.09815,289,44.4816558361053,0.7753
2025-12-12 06:10:48.39684,290,44.2108190059662,0.7735
2025-12-12 06:11:31.77103,291,43.2793569564819,0.7735
2025-12-12 06:12:15.85894,292,43.992133140564,0.7751
2025-12-12 06:13:00.10859,293,44.161759853363,0.7741
2025-12-12 06:13:44.23028,294,44.0442070960999,0.7738
2025-12-12 06:14:26.67092,295,42.3545498847961,0.7744
2025-12-12 06:15:12.84423,296,46.0983409881592,0.774
2025-12-12 06:15:57.07884,297,44.1569068431854,0.7726
2025-12-12 06:16:41.39417,298,44.237377166748,0.7754
2025-12-12 06:17:24.18213,299,42.7116761207581,0.7724
2025-12-12 06:18:08.63468,300,44.3765430450439,0.7719
2025-12-12 06:18:53.12938,301,44.3954019546509,0.7716
2025-12-12 06:19:38.24760,302,45.0186469554901,0.7747
2025-12-12 06:20:21.30189,303,42.9475119113922,0.777
2025-12-12 06:21:08.06638,304,46.6649219989777,0.7725
2025-12-12 06:21:52.90497,305,44.7388281822205,0.773
2025-12-12 06:22:36.79212,306,43.7903039455414,0.7706
2025-12-12 06:23:19.55329,307,42.5499789714813,0.7744
2025-12-12 06:24:03.99676,308,44.3477210998535,0.7762
2025-12-12 06:24:48.97997,309,44.8954839706421,0.7737
2025-12-12 06:25:31.90320,310,42.8302030563354,0.7752
2025-12-12 06:26:15.21444,311,43.2250139713287,0.7764
2025-12-12 06:26:58.93330,312,43.6178069114685,0.7756
2025-12-12 06:27:43.44599,313,44.4152200222015,0.776
2025-12-12 06:28:25.35495,314,41.8087859153748,0.7705
2025-12-12 06:29:09.16786,315,43.7192730903625,0.7754
2025-12-12 06:29:53.52756,316,44.2679688930511,0.774
2025-12-12 06:30:37.19735,317,43.5804209709167,0.7777
2025-12-12 06:31:20.07205,318,42.7745809555054,0.7744
2025-12-12 06:32:04.10409,319,43.9511549472809,0.778
2025-12-12 06:32:48.27862,320,44.0726199150085,0.7762
2025-12-12 06:33:30.75222,321,42.3668859004974,0.7768
2025-12-12 06:34:14.72724,322,43.8591918945312,0.7746
2025-12-12 06:34:59.13849,323,44.3043019771576,0.776
2025-12-12 06:35:42.72067,324,43.4887101650238,0.7761
2025-12-12 06:36:24.92420,325,42.1038949489594,0.7754
2025-12-12 06:37:08.71095,326,43.6946110725403,0.778
2025-12-12 06:37:52.65963,327,43.8636100292206,0.7765
2025-12-12 06:38:36.42574,328,43.6790969371796,0.7764
2025-12-12 06:39:18.65677,329,42.1541152000427,0.7771
2025-12-12 06:40:03.52351,330,44.773933172226,0.7744
2025-12-12 06:40:47.37394,331,43.7544159889221,0.7764
2025-12-12 06:41:28.98656,332,41.5266220569611,0.7767
2025-12-12 06:42:12.39091,333,43.298731803894,0.7763
2025-12-12 06:42:55.55780,334,43.0810987949371,0.7745
2025-12-12 06:43:38.83155,335,43.1909890174866,0.7762
2025-12-12 06:44:20.52658,336,41.61567902565,0.7756
2025-12-12 06:45:04.95287,337,44.3484330177307,0.7756
2025-12-12 06:45:48.11938,338,43.0716400146484,0.7737
2025-12-12 06:46:30.21938,339,42.0142529010773,0.7737
2025-12-12 06:47:13.79942,340,43.4804010391235,0.7742
2025-12-12 06:47:57.90544,341,44.0164399147034,0.7753
2025-12-12 06:48:41.60909,342,43.6179351806641,0.7745
2025-12-12 06:49:23.62891,343,41.9386489391327,0.7738
2025-12-12 06:50:08.21847,344,44.5125691890717,0.7778
2025-12-12 06:50:52.52123,345,44.2295250892639,0.7777
2025-12-12 06:51:35.62982,346,43.0285429954529,0.7783
2025-12-12 06:52:18.82698,347,43.1092009544373,0.7762
2025-12-12 06:53:02.47953,348,43.560977935791,0.7763
2025-12-12 06:53:46.49297,349,43.924604177475,0.7753
2025-12-12 06:54:28.75356,350,42.1748011112213,0.7741
2025-12-12 06:55:13.45505,351,44.6100821495056,0.7738
2025-12-12 06:55:57.37807,352,43.8349061012268,0.7753
2025-12-12 06:56:41.45447,353,43.9868049621582,0.7736
2025-12-12 06:57:24.09610,354,42.5635440349579,0.7739
2025-12-12 06:58:08.57922,355,44.3955631256104,0.7744
2025-12-12 06:58:52.68635,356,44.026603937149,0.7735
2025-12-12 06:59:37.26002,357,44.4921438694,0.7723
2025-12-12 07:00:20.35696,358,43.0131568908691,0.7749
2025-12-12 07:01:05.49515,359,45.0588538646698,0.7717
2025-12-12 07:01:50.29440,360,44.7194209098816,0.7759
2025-12-12 07:02:34.23641,361,43.8632547855377,0.7739
2025-12-12 07:03:17.42010,362,43.073194026947,0.777
2025-12-12 07:04:01.97125,363,44.4556210041046,0.774
2025-12-12 07:04:47.22664,364,45.1578030586243,0.7748
2025-12-12 07:05:30.45097,365,43.1281049251556,0.7761
2025-12-12 07:06:14.22178,366,43.6582880020142,0.7722
2025-12-12 07:06:58.47302,367,44.1553149223328,0.7748
2025-12-12 07:07:42.36649,368,43.8018062114716,0.7747
2025-12-12 07:08:24.64705,369,42.1703851222992,0.775
2025-12-12 07:09:09.58765,370,44.8541839122772,0.7743
2025-12-12 07:09:54.75537,371,45.0854730606079,0.7733
2025-12-12 07:10:38.79978,372,43.9571149349213,0.7757
2025-12-12 07:11:21.12454,373,42.2455852031708,0.7751
2025-12-12 07:12:04.75409,374,43.5488588809967,0.7763
2025-12-12 07:12:48.18584,375,43.3529531955719,0.776
2025-12-12 07:13:30.37373,376,42.0913310050964,0.7765
2025-12-12 07:14:13.57035,377,43.0823340415955,0.7787
2025-12-12 07:14:58.26497,378,44.5978610515594,0.7784
2025-12-12 07:15:43.72150,379,45.3651421070099,0.7766
2025-12-12 07:16:26.52373,380,42.7044789791107,0.7769
2025-12-12 07:17:10.46586,381,43.857143163681,0.7772
2025-12-12 07:17:53.50428,382,42.9610540866852,0.7756
2025-12-12 07:18:36.68398,383,43.0981848239899,0.7762
2025-12-12 07:19:19.07678,384,42.2859020233154,0.7761
2025-12-12 07:20:03.15913,385,43.9899468421936,0.7744
2025-12-12 07:20:46.72173,386,43.4668519496918,0.7751
2025-12-12 07:21:29.30871,387,42.4977481365204,0.7779
2025-12-12 07:22:12.35344,388,42.9371280670166,0.7779
2025-12-12 07:22:55.48878,389,43.0510380268097,0.777
2025-12-12 07:23:38.97895,390,43.4061391353607,0.7781
2025-12-12 07:24:20.88226,391,41.8230259418488,0.7761
2025-12-12 07:25:04.77493,392,43.8030948638916,0.776
2025-12-12 07:25:48.28754,393,43.4093010425568,0.778
2025-12-12 07:26:29.87919,394,41.4999299049377,0.7767
2025-12-12 07:27:13.15498,395,43.1657440662384,0.776
2025-12-12 07:27:56.80721,396,43.4853529930115,0.7754
2025-12-12 07:28:40.24556,397,43.35027384758,0.7773
2025-12-12 07:29:22.41488,398,42.0882380008698,0.7794
2025-12-12 07:30:06.96761,399,44.4720711708069,0.7769
2025-12-12 07:30:50.54903,400,43.4922060966492,0.7767
2025-12-12 07:31:33.71106,401,43.0835559368134,0.7792
2025-12-12 07:32:16.61362,402,42.7985000610352,0.7788
2025-12-12 07:33:00.05261,403,43.3473670482635,0.7787
2025-12-12 07:33:43.49339,404,43.3475439548492,0.7774
2025-12-12 07:34:25.24788,405,41.6748809814453,0.7787
2025-12-12 07:35:10.33210,406,45.0014410018921,0.7771
2025-12-12 07:35:53.95360,407,43.5379679203033,0.7774
2025-12-12 07:36:37.13750,408,43.0995399951935,0.779
2025-12-12 07:37:19.61149,409,42.3802239894867,0.7776
2025-12-12 07:38:02.89284,410,43.20090508461,0.7788
2025-12-12 07:38:46.61400,411,43.6493859291077,0.7791
2025-12-12 07:39:29.33214,412,42.6312670707703,0.7773
2025-12-12 07:40:13.65780,413,44.2338919639587,0.777
2025-12-12 07:40:57.33361,414,43.5887401103973,0.7776
2025-12-12 07:41:41.15855,415,43.7345049381256,0.7765
2025-12-12 07:42:23.62115,416,42.389760017395,0.7745
2025-12-12 07:43:07.16967,417,43.4555649757385,0.7757
2025-12-12 07:43:50.49066,418,43.2336049079895,0.777
2025-12-12 07:44:33.43404,419,42.8511497974396,0.7766
2025-12-12 07:45:17.34431,420,43.8270750045776,0.7778
2025-12-12 07:46:01.20469,421,43.7684319019318,0.7777
2025-12-12 07:46:44.64569,422,43.3501200675964,0.779
2025-12-12 07:47:26.70515,423,41.9710221290588,0.7784
2025-12-12 07:48:10.18433,424,43.3909471035004,0.7776
2025-12-12 07:48:54.32925,425,44.058798789978,0.7758
2025-12-12 07:49:39.38900,426,44.9661538600922,0.7755
2025-12-12 07:50:21.98121,427,42.5042109489441,0.7767
2025-12-12 07:51:05.71738,428,43.6526420116425,0.7759
2025-12-12 07:51:49.92135,429,44.1180789470673,0.7746
2025-12-12 07:52:32.68765,430,42.6873090267181,0.7779
2025-12-12 07:53:16.03604,431,43.2630939483643,0.7769
2025-12-12 07:54:00.18584,432,44.0702121257782,0.7785
2025-12-12 07:54:44.76780,433,44.5024070739746,0.7756
2025-12-12 07:55:27.46507,434,42.620628118515,0.7747
2025-12-12 07:56:12.14661,435,44.6083319187164,0.7757
2025-12-12 07:56:56.35570,436,44.1332688331604,0.7761
2025-12-12 07:57:41.83278,437,45.3975780010223,0.7762
2025-12-12 07:58:24.28841,438,42.3525900840759,0.777
2025-12-12 07:59:08.62257,439,44.2406759262085,0.7779
2025-12-12 07:59:53.50193,440,44.7821869850159,0.7774
2025-12-12 08:00:37.54490,441,43.9511070251465,0.7768
2025-12-12 08:01:20.18041,442,42.5053489208221,0.7775
2025-12-12 08:02:05.53660,443,45.2685539722443,0.7765
2025-12-12 08:02:49.01767,444,43.3812510967255,0.7775
2025-12-12 08:03:32.13209,445,43.0231449604034,0.7784
2025-12-12 08:04:15.32562,446,43.1050069332123,0.7761
2025-12-12 08:05:00.43357,447,45.0268669128418,0.7775
2025-12-12 08:05:43.94529,448,43.4140729904175,0.7745
2025-12-12 08:06:26.06817,449,42.0194270610809,0.7756
2025-12-12 08:07:10.16493,450,44.0116159915924,0.7769
2025-12-12 08:07:54.51465,451,44.2534031867981,0.7752
2025-12-12 08:08:37.81136,452,43.2017982006073,0.7776
2025-12-12 08:09:20.72879,453,42.8034720420837,0.7768
